temperature,humidity,soil_moisture,aqi_sensor,pump_state
16.19,86.25,WET,297.96,OFF
37.08,87.4,WET,17.89,OFF
4.94,73.18,WET,138.68,OFF
1.3,64.52,WET,560.2,OFF
30.75,79.68,WET,311.16,OFF
55.59,20.19,DRY,610.18,ON
47.29,50.41,DRY,489.05,ON
42.4,28.6,DRY,309.34,ON
30.23,92.47,DRY,733.26,ON
30.94,6.94,DRY,193.88,ON
2.44,76.94,DRY,594.91,ON
16.7,79.23,DRY,91.92,ON
34.81,13.81,DRY,795.55,ON
34.08,26.2,DRY,849.41,ON
33.52,45.98,WET,514.2,OFF
15.08,48.75,WET,307.73,OFF
52.25,70.45,DRY,760.98,ON
18.81,60.87,WET,629.35,OFF
44.8,80.72,DRY,170.74,ON
55.24,49.43,WET,542.17,ON
49.66,20.51,DRY,112.56,ON
13.01,40.52,DRY,495.36,ON
57.77,75.99,DRY,920.38,ON
8.44,28.97,WET,117.29,OFF
8.54,98.33,WET,227.32,OFF
13.12,64.13,DRY,746.65,ON
9.23,35.61,WET,363.68,OFF
55.72,49.28,DRY,862.07,ON
48.49,19.56,WET,732.25,OFF
3.0,36.95,WET,235.62,OFF
15.69,88.32,DRY,548.32,ON
15.44,42.03,WET,18.49,OFF
34.59,90.31,WET,633.91,OFF
9.4,81.66,WET,500.23,OFF
51.46,95.46,WET,457.21,ON
52.92,39.91,WET,685.44,ON
22.6,91.13,WET,438.72,OFF
46.21,92.15,WET,970.41,OFF
33.4,87.45,DRY,550.38,ON
55.17,90.28,DRY,184.42,ON
2.56,90.28,WET,583.33,OFF
19.52,1.61,WET,551.49,ON
46.3,53.39,WET,43.1,OFF
34.38,15.33,WET,350.57,OFF
38.26,0.55,WET,620.2,ON
13.65,30.89,WET,331.32,OFF
6.21,81.69,DRY,708.62,ON
25.06,92.26,WET,579.09,OFF
17.35,40.92,DRY,197.43,ON
29.44,38.6,DRY,710.81,ON
23.95,96.84,WET,125.35,OFF
12.06,36.0,WET,97.24,OFF
46.23,17.65,WET,866.72,OFF
59.79,100.0,WET,626.61,ON
29.33,71.56,DRY,37.71,ON
2.04,33.39,DRY,739.6,ON
19.8,67.96,DRY,797.8,ON
25.63,75.99,WET,293.52,OFF
23.2,77.85,WET,760.9,OFF
10.12,66.71,DRY,411.27,ON
51.63,4.26,DRY,410.26,ON
31.64,15.99,WET,499.04,OFF
55.08,81.26,WET,802.86,ON
27.06,12.41,WET,880.46,OFF
39.97,79.7,DRY,270.7,ON
51.04,53.52,WET,132.07,ON
27.08,70.83,WET,44.02,OFF
38.89,17.36,WET,579.03,OFF
12.35,38.88,DRY,473.84,ON
19.32,2.65,DRY,637.07,ON
16.04,14.38,WET,940.1,OFF
16.58,80.38,WET,813.83,OFF
22.9,2.47,DRY,609.17,ON
18.98,6.39,WET,623.95,ON
19.63,24.93,WET,443.33,OFF
46.97,58.64,WET,84.54,OFF
55.34,81.43,WET,500.84,ON
9.33,94.44,WET,526.67,OFF
36.34,63.38,DRY,114.0,ON
55.45,67.73,DRY,795.26,ON
7.53,9.88,WET,483.2,ON
45.43,25.39,WET,753.24,OFF
40.12,96.71,WET,234.48,OFF
3.89,89.12,WET,304.25,OFF
8.2,8.63,DRY,265.77,ON
8.37,54.26,DRY,142.07,ON
26.5,66.91,DRY,345.41,ON
21.06,27.12,WET,614.5,OFF
54.33,22.13,WET,994.34,ON
24.06,47.13,WET,59.51,OFF
44.78,95.0,WET,566.33,OFF
32.77,65.15,DRY,18.54,ON
13.7,3.46,DRY,284.29,ON
23.41,62.75,WET,243.51,OFF
9.13,58.32,DRY,595.91,ON
14.32,77.14,DRY,567.38,ON
47.75,83.69,WET,117.4,OFF
57.13,24.8,DRY,278.81,ON
59.74,68.54,WET,503.81,ON
10.19,8.26,DRY,234.74,ON
8.69,85.94,DRY,960.13,ON
26.67,30.23,WET,710.85,OFF
18.09,3.59,WET,60.32,ON
24.48,12.38,WET,378.77,OFF
31.6,25.14,DRY,870.17,ON
50.57,50.32,DRY,550.1,ON
39.91,43.06,WET,519.23,OFF
11.4,90.83,DRY,177.94,ON
55.36,34.65,WET,513.64,ON
11.49,84.02,WET,785.23,OFF
1.17,5.6,DRY,923.18,ON
48.02,15.02,WET,952.61,OFF
50.19,90.3,WET,178.81,ON
59.64,44.63,WET,785.18,ON
4.36,12.39,WET,391.81,OFF
43.33,28.49,WET,231.07,OFF
35.81,73.12,WET,988.86,OFF
46.67,47.74,DRY,140.82,ON
21.64,37.92,DRY,807.53,ON
4.28,54.16,DRY,680.61,ON
12.16,30.86,WET,612.64,OFF
5.71,60.82,WET,147.47,OFF
31.52,31.58,DRY,611.35,ON
55.2,13.31,DRY,817.0,ON
2.56,49.6,WET,101.76,OFF
24.56,15.8,WET,321.06,OFF
52.01,89.71,WET,78.13,ON
15.97,48.06,WET,221.62,OFF
4.6,45.01,DRY,3.88,ON
28.91,22.37,DRY,18.45,ON
34.64,77.09,DRY,886.03,ON
14.33,0.2,DRY,936.5,ON
38.09,73.16,WET,824.79,OFF
17.72,4.86,DRY,230.53,ON
49.01,79.04,DRY,358.95,ON
1.64,81.52,DRY,308.0,ON
4.59,8.48,WET,652.29,ON
23.4,19.99,WET,484.04,OFF
18.29,23.57,DRY,708.31,ON
58.71,28.1,DRY,664.0,ON
16.08,59.17,WET,45.12,OFF
48.52,86.92,DRY,521.12,ON
11.93,11.23,WET,113.1,OFF
47.94,41.37,WET,648.36,OFF
34.43,17.2,WET,575.45,OFF
58.92,37.39,DRY,395.34,ON
20.96,3.63,WET,173.59,ON
58.07,29.15,WET,352.77,ON
56.22,87.06,WET,954.65,ON
15.31,32.03,WET,218.68,OFF
30.3,16.78,WET,185.84,OFF
7.63,41.43,WET,472.43,OFF
12.78,60.3,DRY,498.04,ON
6.26,27.23,DRY,813.43,ON
39.95,54.71,WET,43.95,OFF
24.32,46.41,DRY,910.98,ON
3.19,59.1,DRY,735.42,ON
40.29,40.06,WET,352.87,OFF
38.1,5.54,DRY,512.27,ON
59.75,20.86,WET,886.76,ON
19.02,25.09,WET,515.05,OFF
9.88,81.77,DRY,486.29,ON
6.75,25.35,WET,802.89,OFF
26.16,56.06,WET,956.35,OFF
26.6,43.57,DRY,321.68,ON
52.27,80.68,WET,477.76,ON
9.34,99.35,DRY,77.73,ON
24.91,30.44,DRY,525.08,ON
13.99,73.03,WET,712.69,OFF
18.79,67.41,DRY,968.81,ON
21.51,38.58,DRY,116.47,ON
26.85,76.58,DRY,917.12,ON
32.97,97.56,DRY,522.25,ON
44.71,61.67,WET,992.19,OFF
13.36,41.48,WET,687.39,OFF
37.28,75.93,WET,617.97,OFF
11.86,40.46,WET,417.98,OFF
22.58,99.24,DRY,226.45,ON
57.8,39.81,DRY,379.59,ON
4.26,12.26,DRY,817.77,ON
55.54,60.46,DRY,279.85,ON
34.5,15.15,WET,957.03,OFF
14.59,26.9,WET,14.74,OFF
16.87,72.73,WET,75.18,OFF
22.35,56.0,DRY,963.91,ON
57.32,53.2,DRY,539.82,ON
31.18,24.57,WET,636.29,OFF
29.56,30.17,DRY,500.78,ON
8.44,59.04,DRY,799.16,ON
15.49,15.81,DRY,855.01,ON
16.87,70.44,WET,698.13,OFF
32.99,54.85,DRY,609.56,ON
32.49,98.31,DRY,634.73,ON
52.93,6.52,WET,634.78,ON
55.8,99.18,DRY,561.01,ON
23.79,33.87,DRY,191.72,ON
1.47,48.68,WET,206.86,OFF
39.02,79.3,DRY,201.9,ON
33.68,0.13,DRY,625.04,ON
6.16,47.36,DRY,542.61,ON
13.09,7.17,DRY,777.75,ON
30.91,99.0,DRY,918.95,ON
34.48,9.84,WET,204.78,ON
5.24,32.91,DRY,245.21,ON
46.27,77.53,DRY,851.43,ON
21.56,97.25,WET,366.96,OFF
18.6,78.47,DRY,185.23,ON
16.28,24.94,WET,706.9,OFF
34.72,22.96,DRY,256.84,ON
29.94,19.01,DRY,998.57,ON
27.59,51.21,WET,273.01,OFF
42.65,98.4,DRY,483.57,ON
23.65,13.82,DRY,164.61,ON
25.76,97.46,DRY,335.27,ON
52.38,82.01,WET,587.56,ON
45.09,85.18,DRY,967.06,ON
47.78,29.66,DRY,97.32,ON
35.71,44.7,DRY,848.1,ON
29.48,40.17,WET,896.17,OFF
29.25,81.83,DRY,473.03,ON
15.73,99.31,WET,30.52,OFF
39.0,94.35,WET,126.37,OFF
42.12,5.96,DRY,190.9,ON
6.02,11.62,DRY,98.61,ON
4.18,21.05,WET,162.21,OFF
34.37,54.31,WET,105.16,OFF
13.35,22.16,WET,637.35,OFF
29.03,88.1,WET,125.37,OFF
3.86,93.15,WET,571.64,OFF
47.67,18.77,DRY,301.08,ON
55.5,72.99,WET,145.33,ON
18.06,10.53,WET,630.52,OFF
1.67,4.06,DRY,600.38,ON
25.54,60.98,WET,161.93,OFF
30.89,70.67,WET,475.68,OFF
42.26,98.32,WET,609.2,OFF
23.06,46.39,WET,560.66,OFF
23.03,28.16,DRY,439.12,ON
50.94,5.55,WET,777.92,ON
39.87,98.27,DRY,606.94,ON
36.36,61.43,DRY,458.79,ON
13.39,73.49,DRY,333.23,ON
59.51,80.33,DRY,522.2,ON
19.23,67.57,WET,644.34,OFF
10.86,59.97,WET,604.13,OFF
48.46,80.04,DRY,987.92,ON
40.46,39.96,DRY,231.8,ON
27.28,45.8,WET,573.42,OFF
12.42,39.75,DRY,826.09,ON
42.98,18.16,WET,6.78,OFF
4.86,20.11,DRY,465.54,ON
46.0,28.95,DRY,208.33,ON
39.87,98.52,DRY,85.3,ON
41.24,12.76,WET,217.23,OFF
2.91,25.59,DRY,612.92,ON
8.06,31.44,WET,456.09,OFF
5.72,55.11,WET,249.59,OFF
30.29,0.7,DRY,219.63,ON
3.14,75.75,WET,774.77,OFF
2.89,58.54,DRY,937.68,ON
1.56,25.09,DRY,825.11,ON
10.32,10.76,WET,795.15,OFF
0.03,82.65,DRY,64.09,ON
13.28,45.17,WET,945.3,OFF
37.35,83.21,DRY,35.53,ON
21.3,1.76,DRY,257.72,ON
47.33,81.03,WET,611.24,OFF
0.5,5.75,WET,334.77,ON
16.66,64.89,WET,703.44,OFF
2.07,28.34,WET,287.1,OFF
34.23,92.65,WET,429.73,OFF
31.02,24.36,WET,871.76,OFF
52.95,10.19,WET,287.34,ON
41.07,48.0,DRY,41.21,ON
19.03,36.21,DRY,442.9,ON
44.07,43.68,DRY,9.97,ON
28.68,81.77,DRY,595.49,ON
16.77,84.33,WET,363.2,OFF
53.64,57.8,WET,574.57,ON
38.16,42.06,WET,383.11,OFF
17.3,81.81,DRY,935.39,ON
57.43,34.21,DRY,84.27,ON
49.85,64.36,WET,634.15,ON
54.0,30.69,WET,193.2,ON
56.81,72.25,WET,976.15,ON
51.91,76.13,WET,566.11,ON
7.59,67.2,DRY,968.32,ON
15.46,24.49,DRY,21.65,ON
13.15,45.42,DRY,398.33,ON
32.62,12.56,WET,408.6,OFF
31.08,95.86,DRY,414.48,ON
28.91,0.86,WET,593.27,ON
9.02,3.77,DRY,231.2,ON
39.78,32.01,WET,290.1,OFF
51.61,88.75,DRY,434.46,ON
51.3,14.02,WET,744.43,ON
51.73,9.08,DRY,780.69,ON
31.61,21.34,WET,307.39,OFF
39.03,56.58,WET,772.74,OFF
57.95,45.2,WET,432.41,ON
50.97,25.92,WET,932.79,ON
37.49,11.69,DRY,399.23,ON
28.06,94.12,WET,693.35,OFF
9.87,4.88,DRY,114.89,ON
6.45,68.66,WET,698.27,OFF
45.57,64.57,DRY,673.24,ON
45.98,55.78,DRY,760.89,ON
32.83,68.77,WET,29.94,OFF
20.89,0.41,WET,940.39,ON
46.93,16.26,DRY,439.26,ON
57.72,36.64,DRY,846.49,ON
38.22,95.21,WET,689.12,OFF
29.39,5.8,DRY,249.84,ON
44.29,93.37,WET,912.05,OFF
33.52,49.26,DRY,917.88,ON
39.96,45.83,WET,430.5,OFF
13.9,8.24,WET,383.8,ON
14.44,77.77,WET,727.51,OFF
51.86,76.44,WET,531.85,ON
52.9,15.07,WET,206.99,ON
9.01,18.1,WET,113.91,OFF
30.64,69.89,WET,682.74,OFF
32.79,4.3,WET,82.6,ON
20.03,32.19,WET,308.57,OFF
53.6,47.19,DRY,440.26,ON
43.01,4.1,WET,473.2,ON
8.93,21.43,DRY,458.68,ON
6.52,53.9,WET,147.99,OFF
13.26,49.38,WET,876.69,OFF
30.1,89.36,WET,845.12,OFF
14.14,2.28,WET,516.99,ON
19.83,62.49,WET,48.68,OFF
23.49,62.33,DRY,134.43,ON
9.68,45.81,WET,991.04,OFF
6.03,13.98,DRY,366.98,ON
40.49,6.01,DRY,721.51,ON
24.85,28.96,WET,865.22,OFF
15.78,20.59,DRY,267.05,ON
50.28,30.61,WET,63.07,ON
2.31,58.74,WET,313.49,OFF
49.54,90.53,DRY,74.7,ON
38.75,97.21,DRY,241.73,ON
14.93,65.42,WET,540.38,OFF
58.21,38.35,DRY,91.01,ON
36.29,26.3,DRY,490.91,ON
57.67,46.87,DRY,736.12,ON
6.85,62.54,WET,688.34,OFF
26.21,94.68,DRY,493.52,ON
22.62,23.51,DRY,313.21,ON
27.47,54.15,DRY,635.04,ON
59.29,54.53,WET,367.19,ON
16.62,87.55,WET,892.97,OFF
4.9,5.21,DRY,457.62,ON
38.47,36.35,WET,90.33,OFF
31.74,18.09,DRY,323.74,ON
24.06,92.88,DRY,341.91,ON
31.82,45.06,DRY,38.09,ON
38.88,84.07,DRY,916.21,ON
56.6,48.07,DRY,659.36,ON
47.12,99.72,DRY,958.69,ON
21.56,73.74,WET,726.8,OFF
16.77,76.78,DRY,490.56,ON
19.2,53.75,WET,547.31,OFF
8.71,63.06,DRY,563.0,ON
40.91,76.29,DRY,457.79,ON
34.03,19.68,DRY,915.05,ON
31.28,59.02,WET,6.8,OFF
36.76,25.51,DRY,631.18,ON
28.31,26.67,DRY,394.4,ON
56.43,32.51,WET,53.74,ON
8.19,17.43,WET,534.05,OFF
32.34,35.45,DRY,12.61,ON
20.52,85.6,WET,993.31,OFF
18.54,58.44,DRY,858.98,ON
35.62,15.69,WET,905.47,OFF
20.95,54.65,DRY,3.38,ON
55.36,20.0,WET,518.7,ON
4.62,42.25,WET,474.82,OFF
40.85,77.72,DRY,10.8,ON
41.13,74.14,WET,84.92,OFF
35.14,77.15,WET,715.79,OFF
57.96,1.12,WET,247.33,ON
18.78,0.71,DRY,763.32,ON
58.29,60.87,WET,964.25,ON
58.92,14.83,DRY,421.23,ON
39.25,28.65,DRY,736.47,ON
23.83,60.4,DRY,420.29,ON
55.88,41.94,DRY,424.35,ON
58.3,8.77,WET,548.17,ON
21.05,69.27,WET,649.11,OFF
34.79,93.3,WET,341.79,OFF
37.56,61.28,WET,857.96,OFF
44.52,39.98,WET,31.34,OFF
15.41,23.78,WET,133.41,OFF
16.59,60.75,DRY,58.6,ON
18.83,74.0,DRY,309.55,ON
0.67,36.98,DRY,582.45,ON
45.56,35.26,WET,428.66,OFF
6.5,55.52,DRY,524.97,ON
56.27,82.81,WET,533.99,ON
0.22,28.73,WET,298.64,OFF
6.43,88.22,WET,648.55,OFF
45.28,6.73,WET,299.74,ON
41.63,92.23,WET,69.12,OFF
1.88,10.08,DRY,198.53,ON
58.6,99.12,WET,355.27,ON
33.93,32.95,WET,559.38,OFF
2.45,54.52,DRY,144.9,ON
44.65,1.79,DRY,953.43,ON
22.75,23.07,WET,977.79,OFF
35.83,57.99,DRY,721.68,ON
44.05,5.89,DRY,35.2,ON
36.47,91.74,WET,907.3,OFF
57.31,58.87,WET,586.35,ON
38.84,9.37,WET,839.19,ON
12.63,43.4,WET,291.88,OFF
42.12,10.06,WET,325.59,OFF
47.63,67.37,DRY,563.28,ON
24.71,18.9,DRY,103.86,ON
16.25,41.12,DRY,26.86,ON
18.18,57.31,DRY,177.86,ON
6.66,38.47,WET,410.0,OFF
27.28,67.48,WET,421.14,OFF
34.19,24.26,DRY,59.04,ON
45.2,99.99,WET,980.0,OFF
11.21,62.04,DRY,43.53,ON
1.61,75.49,DRY,556.09,ON
44.54,9.35,DRY,666.69,ON
9.92,10.8,DRY,276.09,ON
11.04,68.49,DRY,764.61,ON
38.65,51.12,WET,855.28,OFF
11.98,53.04,DRY,549.65,ON
41.74,37.23,WET,737.99,OFF
14.52,71.45,DRY,44.03,ON
2.63,38.56,DRY,549.35,ON
8.14,31.16,WET,934.73,OFF
19.96,85.52,WET,474.15,OFF
53.26,63.03,WET,889.87,ON
33.45,61.07,WET,591.2,OFF
41.09,36.87,DRY,205.56,ON
43.23,23.51,DRY,37.09,ON
25.33,8.48,DRY,951.04,ON
59.77,41.21,WET,274.87,ON
48.99,37.55,DRY,118.83,ON
50.89,25.96,WET,47.35,ON
17.38,98.04,DRY,152.63,ON
13.98,57.17,DRY,111.49,ON
50.45,64.05,DRY,579.81,ON
22.29,24.26,DRY,801.43,ON
7.44,27.45,WET,284.9,OFF
14.74,19.62,DRY,654.76,ON
37.38,83.34,DRY,604.49,ON
54.08,12.17,WET,300.99,ON
4.19,95.48,DRY,217.12,ON
33.91,96.76,DRY,647.92,ON
6.37,52.42,DRY,207.65,ON
17.28,74.15,DRY,489.42,ON
48.26,24.44,DRY,77.32,ON
49.44,27.77,WET,977.7,ON
24.01,1.52,DRY,889.94,ON
4.22,58.07,DRY,708.72,ON
49.93,29.9,DRY,361.97,ON
51.32,82.56,DRY,778.58,ON
18.66,74.24,WET,109.51,OFF
7.12,97.96,WET,755.66,OFF
9.21,93.47,WET,765.03,OFF
32.03,20.91,WET,592.41,OFF
46.52,43.1,DRY,579.1,ON
34.59,14.12,DRY,944.28,ON
21.02,21.21,WET,334.75,OFF
49.36,73.35,DRY,768.57,ON
2.68,23.87,WET,838.5,OFF
8.79,64.0,DRY,376.42,ON
51.55,90.14,WET,186.97,ON
42.43,64.44,DRY,40.63,ON
38.87,78.48,DRY,720.42,ON
39.37,76.97,DRY,508.86,ON
25.82,28.05,WET,824.36,OFF
52.26,6.61,WET,973.02,ON
29.33,37.51,WET,451.89,OFF
51.77,58.53,WET,817.54,ON
31.46,40.48,DRY,333.2,ON
39.39,82.0,DRY,745.49,ON
17.35,21.59,DRY,196.66,ON
33.87,62.03,DRY,137.32,ON
21.95,72.77,WET,112.34,OFF
6.39,42.47,DRY,883.78,ON
31.75,53.97,WET,464.02,OFF
27.79,54.9,WET,395.5,OFF
3.74,98.78,DRY,47.61,ON
6.37,36.21,DRY,826.16,ON
4.9,5.23,WET,738.42,ON
36.86,64.36,DRY,279.3,ON
7.81,93.73,DRY,101.01,ON
48.35,23.41,WET,431.18,OFF
44.7,26.34,WET,701.13,OFF
37.89,1.84,DRY,502.11,ON
3.97,53.36,WET,66.34,OFF
58.7,87.26,DRY,541.23,ON
53.04,9.63,DRY,153.16,ON
29.66,16.82,DRY,869.55,ON
18.36,23.74,DRY,478.37,ON
59.06,83.99,DRY,816.63,ON
40.57,88.95,DRY,312.66,ON
6.12,84.07,DRY,321.13,ON
4.54,44.4,DRY,873.93,ON
18.37,36.12,WET,420.11,OFF
48.86,1.15,DRY,350.05,ON
52.82,10.73,DRY,990.27,ON
52.7,86.89,WET,618.53,ON
32.54,44.42,DRY,391.4,ON
3.26,70.51,DRY,485.65,ON
7.63,53.36,DRY,588.07,ON
18.65,41.14,DRY,823.73,ON
41.85,40.4,DRY,765.18,ON
39.22,88.01,DRY,815.85,ON
9.77,86.93,WET,990.52,OFF
39.62,55.62,WET,79.96,OFF
7.05,31.75,WET,558.56,OFF
24.83,57.17,DRY,952.22,ON
4.59,31.92,WET,358.51,OFF
32.19,19.1,DRY,328.19,ON
51.97,60.97,WET,836.42,ON
19.37,49.09,WET,682.52,OFF
51.56,59.87,DRY,940.76,ON
8.45,9.52,DRY,276.51,ON
40.25,66.42,WET,255.14,OFF
41.98,60.53,WET,750.14,OFF
59.34,1.1,WET,377.69,ON
5.55,18.02,DRY,548.02,ON
54.76,28.09,WET,99.0,ON
48.68,23.31,WET,762.04,OFF
18.94,54.9,DRY,800.48,ON
48.94,88.86,WET,630.26,OFF
22.42,20.08,WET,30.68,OFF
46.71,42.83,WET,263.47,OFF
24.4,22.3,WET,863.07,OFF
31.61,7.82,WET,296.61,ON
0.79,39.63,WET,125.59,OFF
14.19,33.34,WET,717.02,OFF
14.65,55.56,WET,263.01,OFF
31.29,45.56,WET,113.9,OFF
22.19,21.89,DRY,884.54,ON
1.71,5.25,WET,336.02,ON
50.23,97.28,WET,846.02,ON
54.01,39.19,WET,522.01,ON
20.21,22.03,WET,181.43,OFF
32.83,3.97,DRY,301.07,ON
29.26,32.08,DRY,576.54,ON
57.69,45.03,WET,112.7,ON
17.42,25.62,DRY,378.34,ON
12.31,50.66,DRY,109.06,ON
22.05,89.75,DRY,778.35,ON
46.49,77.37,DRY,280.75,ON
57.0,11.71,WET,712.13,ON
2.62,93.18,DRY,895.28,ON
31.41,39.4,DRY,912.77,ON
30.17,28.38,DRY,402.86,ON
1.02,53.68,WET,614.42,OFF
59.02,74.28,WET,403.46,ON
0.45,75.7,DRY,909.99,ON
22.72,8.02,DRY,207.54,ON
31.52,1.26,WET,224.75,ON
49.77,78.0,WET,693.23,ON
22.34,1.16,WET,620.25,ON
2.53,1.65,WET,717.66,ON
2.59,83.26,WET,534.77,OFF
27.32,37.88,WET,799.16,OFF
35.14,3.29,DRY,507.9,ON
46.36,81.46,WET,490.79,OFF
33.56,86.65,DRY,449.14,ON
43.46,24.51,WET,560.16,OFF
49.64,29.0,WET,319.97,ON
34.23,18.59,DRY,933.01,ON
29.08,64.11,DRY,652.74,ON
21.59,90.23,WET,624.8,OFF
25.64,7.24,WET,783.4,ON
20.73,61.27,DRY,193.67,ON
28.12,14.1,WET,912.1,OFF
3.57,25.74,WET,41.57,OFF
36.51,3.56,WET,504.91,ON
25.44,38.95,WET,328.58,OFF
6.82,58.97,DRY,500.82,ON
18.42,50.6,WET,876.82,OFF
1.12,9.14,WET,747.23,ON
16.91,52.28,WET,656.36,OFF
48.3,83.41,WET,926.2,OFF
56.79,5.44,WET,800.1,ON
22.44,89.77,DRY,513.71,ON
57.37,65.07,DRY,570.96,ON
17.62,92.09,DRY,495.58,ON
47.47,11.4,DRY,840.41,ON
3.47,16.59,DRY,490.58,ON
25.04,85.86,DRY,996.66,ON
50.6,9.93,WET,902.2,ON
56.22,79.94,DRY,913.74,ON
14.35,53.7,DRY,325.7,ON
17.38,18.41,DRY,174.36,ON
44.41,38.43,DRY,979.96,ON
32.32,6.23,WET,756.11,ON
23.35,55.42,WET,568.05,OFF
24.11,30.66,DRY,910.34,ON
21.48,53.11,WET,343.04,OFF
35.24,24.77,DRY,496.32,ON
47.57,73.7,DRY,449.58,ON
37.75,54.16,WET,878.9,OFF
16.24,10.14,DRY,622.37,ON
9.54,82.2,DRY,9.67,ON
58.38,88.09,WET,757.86,ON
48.04,11.65,WET,691.4,OFF
50.83,84.47,DRY,911.81,ON
37.26,21.1,WET,506.19,OFF
16.02,67.38,DRY,605.15,ON
10.01,58.89,WET,204.21,OFF
16.42,81.87,WET,215.1,OFF
4.61,26.6,DRY,67.99,ON
32.74,40.31,DRY,551.88,ON
42.9,40.67,WET,679.74,OFF
1.95,44.65,DRY,864.25,ON
35.21,77.61,DRY,599.22,ON
51.99,18.81,WET,317.47,ON
14.55,26.72,WET,913.1,OFF
37.08,85.86,DRY,510.04,ON
23.02,27.04,DRY,81.26,ON
40.59,10.82,DRY,701.35,ON
28.35,65.47,WET,111.81,OFF
28.15,97.38,WET,590.55,OFF
56.06,63.92,DRY,688.22,ON
35.72,67.38,DRY,906.53,ON
35.7,14.79,WET,614.81,OFF
53.14,16.46,DRY,249.56,ON
6.19,22.3,WET,601.57,OFF
37.06,60.14,WET,585.54,OFF
27.57,15.39,WET,110.39,OFF
46.93,67.24,WET,903.37,OFF
23.66,10.63,DRY,214.7,ON
38.17,96.86,WET,18.04,OFF
6.27,58.4,WET,148.28,OFF
48.14,72.57,WET,410.85,OFF
6.73,16.57,DRY,377.38,ON
4.19,77.59,WET,726.48,OFF
46.55,2.02,WET,584.35,ON
29.53,83.01,DRY,827.67,ON
48.78,7.27,DRY,368.24,ON
46.47,27.35,DRY,778.68,ON
43.44,40.57,DRY,389.52,ON
31.17,24.99,DRY,190.27,ON
46.8,47.42,DRY,747.76,ON
26.36,1.73,WET,757.01,ON
29.43,96.28,DRY,934.54,ON
48.62,35.06,DRY,612.69,ON
33.04,12.71,DRY,787.3,ON
33.07,10.32,WET,692.73,OFF
42.76,20.84,DRY,371.39,ON
31.09,58.12,WET,575.87,OFF
47.97,49.93,DRY,672.05,ON
37.04,72.32,WET,210.41,OFF
42.45,58.23,DRY,822.54,ON
34.92,81.36,WET,637.94,OFF
15.16,7.84,WET,973.43,ON
9.41,98.51,WET,821.41,OFF
5.08,60.89,DRY,664.78,ON
44.03,47.86,WET,563.7,OFF
26.47,51.39,DRY,654.51,ON
34.61,58.85,WET,57.36,OFF
7.66,18.68,DRY,973.21,ON
42.66,13.06,DRY,315.87,ON
31.7,8.88,DRY,854.5,ON
51.95,32.99,DRY,996.28,ON
